Сегмент;Регион;Бренд;Уровень скидки;Продано шт.;Затраты на ед.;Цена продажи;Валовая выручка;Сумма скидок;Выручка;Себестоимость продаж;Прибыль;Дата;Номер месяца;Название месяца;Год
Малый бизнес;Владивосток;Вдохновение;Средняя;3877;350,72;544,74;2111956,98;253434,84;1858522,14;1270066,89;588455,25;05.05.2023;5;Май;2023
Крупный бизнес;Москва;Победа;Средняя;8690;75,5;106,91;929047,9;111485,75;817562,15;642433,81;175128,34;09.09.2023;9;Сентябрь;2023
Средний бизнес;Нижний Новгород;Аленка;Средняя;3644;138,5;242,05;882030,2;105843,62;776186,58;449925,65;326260,93;12.01.2024;1;Январь;2024
Партнёрский канал;Екатеринбург;Бабаевский;Средняя;5028;179,84;257,98;1297123,44;155654,81;1141468,63;811918,58;329550,05;29.08.2024;8;Август;2024
Малый бизнес;Казань;Сударушка;Высокая;1385;107,32;167,83;232444,55;51137,8;181306,75;138554,67;42752,08;16.11.2023;11;Ноябрь;2023
Партнёрский канал;Владивосток;Аленка;Высокая;1359;121,83;180,54;245353,86;53977,85;191376,01;161305,12;30070,89;20.09.2024;9;Сентябрь;2024
Партнёрский канал;Санкт-Петербург;Аленка;Средняя;7787;119,46;190,48;1483267,76;177992,13;1305275,63;840793,08;464482,55;30.10.2023;10;Октябрь;2023
Крупный бизнес;Санкт-Петербург;Красная Шапочка;Средняя;2106;113,19;187,83;395569,98;47468,4;348101,58;215492,58;132609;28.03.2023;3;Март;2023
Госсектор;Владивосток;Победа;Без скидки;1390;70,62;103,01;143183,9;0;143183,9;97312,35;45871,55;20.07.2024;7;Июль;2024
Крупный бизнес;Нижний Новгород;Красная Шапочка;Средняя;7999;116,52;212,53;1700027,47;204003,3;1496024,17;929309,52;566714,65;19.02.2023;2;Февраль;2023
Средний бизнес;Казань;Аленка;Высокая;5097;138,66;275,76;1405548,72;309220,72;1096328;660832,1;435495,9;17.12.2022;12;Декабрь;2022
